"filename", "language", "XMake", "C++", "Python", "Markdown", "JSON", "GLSL", "comment", "blank", "total"
"d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\track.frag", "GLSL", 0, 0, 0, 0, 0, 6, 0, 3, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\resource\shader\track.vert", "GLSL", 0, 0, 0, 0, 0, 11, 0, 4, 15
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\netbuilder\netbuilder.cc", "C++", 0, 284, 0, 0, 0, 0, 32, 41, 357
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\netbuilder\netbuilder.hh", "C++", 0, 42, 0, 0, 0, 0, 1, 15, 58
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\place.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\place.hh", "C++", 0, 18, 0, 0, 0, 0, 0, 7, 25
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\placestrategy.hh", "C++", 0, 18, 0, 0, 0, 0, 0, 6, 24
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\sa\saplacestrategy.cc", "C++", 0, 121, 0, 0, 0, 0, 6, 34, 161
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\placer\sa\saplacestrategy.hh", "C++", 0, 26, 0, 0, 0, 0, 0, 7, 33
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.cc", "C++", 0, 102, 0, 0, 0, 0, 0, 27, 129
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\route_data.hh", "C++", 0, 40, 0, 0, 0, 0, 3, 15, 58
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command.hh", "C++", 0, 25, 0, 0, 0, 0, 0, 11, 36
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\allocate.cc", "C++", 0, 11, 0, 0, 0, 0, 0, 9, 20
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\allocate.hh", "C++", 0, 12, 0, 0, 0, 0, 0, 6, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\clear.cc", "C++", 0, 15, 0, 0, 0, 0, 0, 7, 22
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\clear.hh", "C++", 0, 12, 0, 0, 0, 0, 0, 6, 18
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\commands.hh", "C++", 0, 8, 0, 0, 0, 0, 0, 1, 9
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.cc", "C++", 0, 160, 0, 0, 0, 0, 10, 34, 204
"d:\FDU_files\Tao_group\kiwi\MyKiwi\source\algo\router\command_mode\command\incremental_route.hh", "C++", 0, 18, 0, 0, 0, 0, 0, 7, 25
